,0,1,2,3,4,5,6
L.Pinky_P_s_x,5.26305923462,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_y,26.119924926800003,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_z,-13.690234375,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_x,2.09794368744,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_y,27.1176300048,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_z,-19.320463562020002,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_x,0.09685906171799999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_y,-0.0305318325758,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_z,0.1722966194152,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,2.09794368744,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,27.1176300048,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,-19.320463562020002,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,0.769632005692,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,26.4863586426,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,-22.6228805542,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,0.0734870672226,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,0.0349242419004,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.1827017903328,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,0.769632005692,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,26.4863586426,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,-22.6228805542,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,-0.400983953476,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,25.9300292968,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_z,-25.5332382202,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,0.07348705530159999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,0.0349243551492,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.1827017784118,0.0,0.0,0.0,0.0,0.0,0.0
R.hand.palm_position_x,27.81125946046,34.92990264894,34.9485786438,34.90928726196,35.19531936646,35.22377319334,35.1427879333
R.hand.palm_position_y,127.0884552002,159.2381622314,160.0660064696,160.41838684060002,160.3488830566,160.4371002198,160.604232788
R.hand.palm_position_z,3.07249774933,4.040933942793999,4.495331478120001,4.8069485664360005,4.7468872070320005,4.5883578300479995,4.53371953964
R.pitch,16.824982422300003,20.901436759,20.76578715146,20.724227498919998,20.84085161432,20.66064321814,20.6898282753
