,0,1,2,3,4,5,6,7,8,9,10,11,12
L.Pinky_P_d_z,0.1523807048798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,15.78390960694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,41.758392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,-5.4428806305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,14.14367370606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,42.2233795166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,-8.29812545776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,0.0986457109452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,-0.027964875102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.171717774868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,14.14367370606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,42.2233795166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,-8.29812545776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,12.650142669680001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,41.6564910888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_z,-10.75516662598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,0.1019228935242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,0.0386861115694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.167675614357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.hand.palm_position_x,88.8247879028,108.563418579,104.0489776612,101.9565856936,107.537348938,110.618875122,108.5239349364,111.55522155759999,112.21387481680001,110.46224670420001,110.03460083000002,109.6922958374,108.4132141114
R.hand.palm_position_y,209.8768493652,257.4834228514,248.55907287580004,236.16640930160003,237.9044403076,257.3811492918,281.9909729006,295.35429077159995,293.84590454119996,287.0427124024,283.372833252,280.6700622558001,277.5479431152
R.hand.palm_position_z,0.92365644648754,-0.687650686502,-6.4040473461200005,-17.32294464112,-23.90582199098,-19.36115036012,-10.723569297797999,-9.449346923825999,-9.998512268058002,-12.13209171294,-13.27969226836,-13.3985004425,-13.55520954132
R.pitch,41.81046868848,50.28333826032001,45.26105707478,34.37091044442,27.67185946224,26.66200880998,27.93493683704,29.0674344656,26.967637922300003,26.02127114704,26.013074236900003,26.135712675460002,25.793688899720003
R.roll,-51.613400137460005,-63.332480391779995,-63.30169536278,-69.03234708672001,-78.41080754551999,-83.58946932902,-83.86854676364,-87.06767763464002,-90.11304591918,-90.8412123951,-90.08653932076001,-88.82844304961999,-88.30488718704001
