,0,1,2,3
R.Thumb_I_e_z,7.8150936125799975,-30.520951080320003,-28.427634429919998,-25.741406917575
R.Thumb_I_d_x,0.5804492212832401,0.7340138554572,0.7440514683724,0.7499791830777499
R.Thumb_I_d_y,-0.631887090206,-0.5521067619322,-0.5399564623832,-0.53656272590175
R.Thumb_I_d_z,0.2689948499204,0.39546811580679997,0.39337253570560005,0.38681641221050006
R.Thumb_D_s_x,64.73165512082001,47.2878753662,45.296527862560005,43.414971351649996
R.Thumb_D_s_y,338.60991516120004,370.9006469728,369.84461669940004,368.508125305
R.Thumb_D_s_z,7.8150936125799975,-30.520951080320003,-28.427634429919998,-25.741406917575
R.Thumb_D_e_x,49.18596000667999,29.399456024160003,27.395747375499997,25.576324939725005
R.Thumb_D_e_y,345.1372192382,374.5077697752,373.0943420412,371.72689056375003
R.Thumb_D_e_z,1.6674888611799972,-38.59283981322001,-36.620374298079994,-34.0826253891
R.Thumb_D_d_x,0.7790743231774,0.896480190754,0.8970996618272,0.8939857482910001
R.Thumb_D_d_y,-0.3271166175604,-0.180771371722,-0.16286036074159999,-0.16130877658725
R.Thumb_D_d_z,0.3080879330636,0.4045236229896,0.41058010458940003,0.418021082878
R.Index_M_s_x,103.15386810295999,98.00340576170001,97.58970947266,97.16357231142501
R.Index_M_s_y,280.59085693360004,312.77414550800006,313.09197998039997,313.35861206075003
R.Index_M_s_z,5.356317901660001,-23.136632919300002,-21.485454559319997,-19.7749285698
R.Index_M_e_x,75.40770111088,65.85359649658,64.88009796143999,63.829730033874995
R.Index_M_e_y,324.0753845214,350.48286743159997,350.78828125,352.24405670174997
R.Index_M_e_z,-28.8466796874,-66.84151000974,-64.78206558228001,-61.513251304625
R.Index_M_d_x,0.41992941200739997,0.48657715320600003,0.4950495541096,0.5044971108437499
R.Index_M_d_y,-0.6581244707108,-0.5707095384596,-0.5705215215682,-0.588518857956
R.Index_M_d_z,0.5176514737307201,0.6614594578744,0.6552804112434,0.631696254015
R.Index_P_s_x,75.40770111088,65.85359649658,64.88009796143999,63.829730033874995
R.Index_P_s_y,324.0753845214,350.48286743159997,350.78828125,352.24405670174997
R.Index_P_s_z,-28.8466796874,-66.84151000974,-64.78206558228001,-61.513251304625
