,0,1,2,3,4,5,6
L.Pinky_D_e_z,-69.6368469238,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,-0.14962179660799999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,0.0321293979884,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.128767299652,0.0,0.0,0.0,0.0,0.0,0.0
R.hand.palm_position_x,9.603049850460001,22.906138610839996,22.604829025279997,22.549106979380003,22.787858962999998,23.441934585579997,23.47936439515
R.hand.palm_position_y,265.2513824464,254.2468627932,253.494256592,253.1700683594,252.6251037598,252.73029174820005,252.90740966799999
R.hand.palm_position_z,68.71542968751999,49.095284271240004,48.71626815794,48.47264938354,48.59622955324,48.62723007202,48.63287353515
R.pitch,22.57479999878,14.35598443872,12.999740397139998,13.292238470620001,13.166189206299999,12.88787385004,12.697895978050001
R.roll,-27.391695344520002,-21.21308600014,-20.51285431524,-21.900248800919996,-22.3992648181,-21.09164455228,-20.83579966485
R.yaw,-3.7388985292759997,9.616822452306,9.70161276316,9.420188475504002,9.155439411882,9.387971838852,9.573104886865
R.Arm direction_x,-0.3999381899836,-0.35579351782799995,-0.35331331491460005,-0.34645192027079996,-0.35388830304140007,-0.3554178893566,-0.34891858696949996
R.Arm direction_y,0.7937191963196,0.8140095114706,0.8337073802948,0.834167087078,0.8089564085008,0.8153355360032,0.834944397211
R.Arm direction_z,-0.4459208726884,-0.45909900665279996,-0.4242117226124,-0.4289072811602,-0.4692678928374,-0.45665302872639996,-0.425579100847
R.wrist position_x,20.493749332438,24.7700393677,24.32334327698,24.502039337160003,25.0635810852,25.48156166076,25.274337768549998
R.wrist position_y,239.18659057640002,232.47213439939998,232.75311889640003,232.0070037842,231.90471191399996,232.3206481932,232.4064331055
R.wrist position_z,121.82103271460001,110.2721923826,110.05043487560002,109.7146133424,110.13161010740001,110.19073638920001,110.041477203
R.elbow position_x,114.18562927239998,108.1203262328,107.09260406480003,105.663908386,107.967541504,108.743852234,107.01406478850001
R.elbow position_y,53.245259857179995,41.77746582034,37.44391403198001,36.59010925292001,42.3938156128,41.31534347534,36.80743789675
R.elbow position_z,226.285083008,217.82343444819998,209.42877502439995,210.1929595946,220.06507263199995,217.1689666746,209.740142822
R.Thumb_M_s_x,-6.060532331471999,-3.854620170592,-4.274805831908,-4.075545501708,-3.620259857178,-3.1847017288219996,-3.30293405056
R.Thumb_M_s_y,252.1557159422,243.88274230940002,244.03876647939995,243.87272338859998,243.55730285639999,243.5123138426,243.78643798849998
R.Thumb_M_s_z,112.36847076426,94.02346191404001,93.77495422364,93.7155960083,94.01234436036,93.88505249024,93.81872177125
R.Thumb_M_e_x,-6.060532331471999,-3.854620170592,-4.274805831908,-4.075545501708,-3.620259857178,-3.1847017288219996,-3.30293405056
R.Thumb_M_e_y,252.1557159422,243.88274230940002,244.03876647939995,243.87272338859998,243.55730285639999,243.5123138426,243.78643798849998
R.Thumb_M_e_z,112.36847076426,94.02346191404001,93.77495422364,93.7155960083,94.01234436036,93.88505249024,93.81872177125
R.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_P_s_x,-6.060532331471999,-3.854620170592,-4.274805831908,-4.075545501708,-3.620259857178,-3.1847017288219996,-3.30293405056
R.Thumb_P_s_y,252.1557159422,243.88274230940002,244.03876647939995,243.87272338859998,243.55730285639999,243.5123138426,243.78643798849998
R.Thumb_P_s_z,112.36847076426,94.02346191404001,93.77495422364,93.7155960083,94.01234436036,93.88505249024,93.81872177125
R.Thumb_P_e_x,-13.525559806818,-4.0517845630639995,-5.180671977996,-4.9131208419800005,-4.13620290756,-3.875314998628,-4.323120117185001
R.Thumb_P_e_y,253.7768829348,239.8493438722,239.43231506360002,239.4103118896,238.8038116454,238.6572692872,238.97682952899999
R.Thumb_P_e_z,79.0628326416,50.90270385744,50.71970672608,50.64357376099999,50.96606369018,50.8526786804,50.7876281738
R.Thumb_P_d_x,0.17235838486809602,0.004552285466342,0.020915345661340002,0.0193385930732,0.01191249564288,0.015945418551560002,0.02355485223235
R.Thumb_P_d_y,-0.03743076473468,0.09312625378372,0.10635734796519998,0.10303163975459999,0.10975231081259999,0.1120970591902,0.1110479943455
R.Thumb_P_d_z,0.7689866036177999,0.9956057190894001,0.9940931797028,0.9944804668424,0.9938861131668,0.9935650348664,0.9935354590415
R.Thumb_I_s_x,-13.525559806818,-4.0517845630639995,-5.180671977996,-4.9131208419800005,-4.13620290756,-3.875314998628,-4.323120117185001
R.Thumb_I_s_y,253.7768829348,239.8493438722,239.43231506360002,239.4103118896,238.8038116454,238.6572692872,238.97682952899999
R.Thumb_I_s_z,79.0628326416,50.90270385744,50.71970672608,50.64357376099999,50.96606369018,50.8526786804,50.7876281738
R.Thumb_I_e_x,-11.894779682158,4.949370288848,3.6995815753960004,3.6659194946280005,4.497171020508,5.030941390992,4.685503959655
